                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.70773,                0.63782,                 1.0218,                0.97221,                0.93305,                0.97492,                0.85871,                0.53391,                0.59083,                0.89006,              0.0003764,              0.0003764,              0.0003764
                    125,                0.69257,                0.63531,                0.99989,                0.97221,                0.93305,                0.97492,                0.85871,                0.53391,                0.59083,                0.89006,              0.0003632,              0.0003632,              0.0003632
                    126,                 0.6194,                0.59492,                0.97865,                0.96959,                   0.96,                0.97784,                0.87529,                0.49849,                0.56143,                0.86576,                0.00035,                0.00035,                0.00035
                    127,                0.66222,                0.67159,                 1.0317,                0.96959,                   0.96,                0.97784,                0.87529,                0.49849,                0.56143,                0.86576,              0.0003368,              0.0003368,              0.0003368
                    128,                0.60468,                0.62257,                 1.0113,                  0.999,                0.94667,                0.98408,                0.87872,                0.48651,                0.54646,                 0.8533,              0.0003236,              0.0003236,              0.0003236
                    129,                0.62522,                 0.6658,                0.99664,                  0.999,                0.94667,                0.98408,                0.87872,                0.48651,                0.54646,                 0.8533,              0.0003104,              0.0003104,              0.0003104
                    130,                0.61775,                0.61106,                0.99577,                0.99718,                0.94667,                0.98551,                0.87562,                0.49193,                0.53825,                0.84903,              0.0002972,              0.0002972,              0.0002972
                    131,                 0.6359,                0.60694,                 1.0403,                0.99718,                0.94667,                0.98551,                0.87562,                0.49193,                0.53825,                0.84903,               0.000284,               0.000284,               0.000284
                    132,                0.66379,                0.64774,                 1.0354,                0.99657,                0.94667,                0.98757,                0.88034,                0.48067,                0.52836,                0.84352,              0.0002708,              0.0002708,              0.0002708
                    133,                0.69365,                0.64698,                 1.0835,                0.99657,                0.94667,                0.98757,                0.88034,                0.48067,                0.52836,                0.84352,              0.0002576,              0.0002576,              0.0002576
                    134,                0.65468,                0.62749,                 1.0114,                0.99696,                0.94667,                0.98894,                0.88596,                0.46535,                0.52344,                0.83971,              0.0002444,              0.0002444,              0.0002444
                    135,                0.63905,                0.64111,                 1.0306,                0.99696,                0.94667,                0.98894,                0.88596,                0.46535,                0.52344,                0.83971,              0.0002312,              0.0002312,              0.0002312
                    136,                0.58904,                0.57881,                0.99373,                0.99909,                0.94667,                0.99117,                0.88297,                0.45915,                0.51637,                0.83864,               0.000218,               0.000218,               0.000218
